Année,Entrées Immigrés (B),Sorties Immigrés (B),Entrées Non-immigrés (B),Sorties Non-immigrés (B),Solde naturel (A),Solde migratoire (A),Étrangers (%),Immigrés (%),Étrangers (%) (A),Immigrés (%) (A),Solde Non-immigrés (C),Solde Immigrés (C),Solde (C),Naissances,Décès,Naissances (A),Décès (A),Femmes,Hommes,Femmes (A),Hommes (A),Étrangers (A),Immigrés (A),Population (A),Solde migratoire Immigrés (B),Solde migratoire Non-immigrés (B),Solde migratoire (B),Décès Immigrés (BC),Décès Non-immigrés (ABC),Décès Immigrés (Ae),Décès Non-immigrés (Ae),Solde Immigrés (ABe),Solde Non-immigrés (ABe),Solde (ABe),Solde (A),Sorties (AB),Sorties Immigrés (ABe),Sorties Non-immigrés (ABe),Solde migratoire Immigrés (ABe),Solde migratoire Non-immigrés (ABe),Solde migratoire (ABe),Solde Immigrés (ABe+),Solde Non-immigrés (ABe+),Solde (ABe+),Solde Immigrés (Apop),Variation Immigrés (A),Variation Immigrés (ABe+)
1921,,,,,,,3.9,3.7,3.9,3.7,,,,,,,,,,,,1532.024,1429.1,38798.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,0.00400928133014158,
1926,,,,,,,6,5.7,6.0,5.7,,,,,,,,,,,,2409.335,2288.2,40228.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,0.0018638751355558008,
1931,,,,,,,6.6,6.6,6.6,6.6,,,,,,,,,,,,2714.697,2729.3,41228.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,-0.0019436223345285996,
1936,,,,,,,5.3,5.6,5.3,5.6,,,,,,,,,,,,2198.236,2326.1,41183.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,-0.0006645163417114506,
1946,,,,,,,4.4,5,4.4,5.0,,,,,,,,,,,,1743.619,1985.9,39848.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,0.0004702099954887592,
1954,,,,,,,4.1,5.4,4.1,5.4,,,,,,,,,,,,1765.0,2293.0,42781.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,0.0009986345377674044,
1962,,,,,,,4.6,6.2,4.6,6.2,,,,,,,,,,,,2150.64,2861.3,46459.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,0.0006037187058427368,
1968,,,,,,,5.3,6.5,5.3,6.5,,,,,,,,,,,,2621.0,3238.0,49655.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,0.0012412563823516246,
1975,,,,,,,6.5,7.4,6.5,7.4,,,,,,,,,,,,3442.0,3887.0,52599.0,,,,,,,,,,,,,59.333333333333336,180.26666666666668,,,,,,,,6.47083515291001e-05,
1982,,,,,272.536,60.3,6.8,7.4,6.8,7.4,,,,823.26,550.724,823.26,550.724,,,,,3714.0,4037.0,54296.0,,,,,,40.75357600000001,509.970424,,,,332.836,,59.333333333333336,180.26666666666668,,,,,,,,-0.00020704512927146625,
1990,,,,,258.685,77.393,6.3,7.3,6.3,7.3,,,,793.071,534.386,793.071,534.386,29755,28241,29755.0,28241.0,3645.0,4222.0,58078.0,,,,,,39.010177999999996,495.37582199999997,,,,336.078,,59.333333333333336,180.26666666666668,,,,,,,,3.3464611105430174e-06,
1999,,,,,228.53,62.5,5.5,7.3,5.5,7.3,,,,775.796,547.266,775.796,547.266,30926.26,29196.405,30926.26,29196.405,3322.0,4374.0,60144.0,,,,,,39.95041799999999,507.315582,,,,291.03,,59.333333333333336,180.26666666666668,,,,,,,,0.0012232841479024156,
2006,208.0,45.0,80.0,131.0,302.432,112.141,5.8,8.1,5.8,8.1,299.0,115.0,414.0,829.352,526.92,829.352,526.92,32616.073,30570.044,32616.073,30570.044,3648.2,5136.3,63186.1,163.0,-51.0,112.0,48.0,478.91999999999996,42.68052,484.23947999999996,120.31948,294.11252,414.432,414.57300000000004,175.85899999999998,59.333333333333336,180.26666666666668,148.66666666666666,-100.26666666666668,48.39999999999998,105.98614666666666,244.84585333333334,350.832,115.30000000000018,0.0012829703051472768,0.001219252416863631
2007,203.0,64.0,69.0,135.0,287.543,73.626,5.8,8.3,5.8,8.3,272.0,90.0,362.0,818.705,531.162,818.705,531.162,32818.936,30781.754,32818.936,30781.754,3682.2,5251.6,63600.7,139.0,-66.0,73.0,49.0,482.16200000000003,44.086446,487.07555400000007,94.913554,265.62944600000003,360.543,361.169,198.374,59.333333333333336,180.26666666666668,143.66666666666666,-111.26666666666668,32.39999999999998,99.58022066666666,220.36277933333332,319.943,90.69999999999982,0.0009517416420092989,0.0011445766182451023
2008,206.0,66.0,66.0,149.0,285.829,56.812,5.8,8.4,5.8,8.4,250.0,91.0,341.0,828.404,542.575,828.404,542.575,33003.572,30958.287,33003.572,30958.287,3714.5,5342.3,63961.9,140.0,-83.0,57.0,49.0,493.57500000000005,45.5763,496.9987,94.4237,248.4053,342.829,342.641,215.188,59.333333333333336,180.26666666666668,146.66666666666666,-114.26666666666668,32.39999999999998,101.09036666666665,217.13863333333333,318.229,90.5,0.0009623737907102775,0.001159158766169524
2009,204.0,72.0,66.0,166.0,276.1,32.339,5.9,8.4,5.9,8.4,228.0,81.0,309.0,824.641,548.541,824.641,548.541,33178.655,31125.845,33178.655,31125.845,3771.1,5432.8,64304.5,132.0,-100.0,32.0,51.0,497.54100000000005,46.07744400000001,502.463556,85.92255599999999,222.17744400000004,308.1,308.439,237.661,59.333333333333336,180.26666666666668,144.66666666666666,-114.26666666666668,30.399999999999977,98.58922266666664,207.91077733333336,306.5,81.39999999999964,0.0008565574585819302,0.001125108829707816
2010,211.0,69.0,97.0,200.0,281.581,38.88,5.9,8.5,5.9,8.5,229.0,91.0,320.0,832.799,551.218,832.799,551.218,33333.407,31279.532,33333.407,31279.532,3817.6,5514.2,64612.9,142.0,-103.0,39.0,51.0,500.21799999999996,46.85353,504.36447,95.14647,225.43453000000002,320.581,320.461,269.12,59.333333333333336,180.26666666666668,151.66666666666666,-83.26666666666668,68.39999999999998,104.81313666666665,245.16786333333334,349.981,91.0,0.0009802021731913635,0.0011536592145713898
2011,217.0,58.0,103.0,235.0,278.337,29.504,6,8.6,6.0,8.6,199.0,109.0,308.0,823.394,545.057,823.394,545.057,33492.443,31440.957,33492.443,31440.957,3889.0,5605.2,64933.4,159.0,-132.0,27.0,50.0,495.057,46.874902,498.18209800000005,112.12509800000001,193.21190199999998,305.337,307.841,290.496,59.333333333333336,180.26666666666668,157.66666666666666,-77.26666666666668,80.39999999999998,110.79176466666667,247.9452353333333,358.73699999999997,108.80000000000018,0.0012603998412222955,0.00122257851866317
2012,229.0,56.0,98.0,199.0,251.179,72.336,6.1,8.8,6.1,8.8,203.0,122.0,325.0,821.047,569.868,821.047,569.868,33653.167,31588.074,33653.167,31588.074,3980.6,5714.0,65241.2,173.0,-101.0,72.0,51.0,518.868,50.14838400000001,519.7196160000001,122.85161599999999,200.327384,323.179,323.515,254.664,59.333333333333336,180.26666666666668,169.66666666666666,-82.26666666666668,87.39999999999998,119.51828266666665,219.06071733333334,338.579,121.30000000000018,0.001417807123614126,0.0013703099244110895
2013,236.0,51.0,102.0,187.0,242.274,100.13,6.2,8.9,6.2,8.9,210.0,132.0,342.0,811.51,569.236,811.51,569.236,33809.331,31755.425,33809.331,31755.425,4083.9,5835.3,65564.8,185.0,-85.0,100.0,53.0,516.236,50.662004,518.573996,134.337996,207.936004,342.274,342.404,237.87,59.333333333333336,180.26666666666668,176.66666666666666,-78.26666666666668,98.39999999999998,126.00466266666666,214.66933733333332,340.674,192.19999999999982,0.0021444864170612893,0.001451844595461313
2014,234.0,40.0,106.0,268.0,259.272,32.324,6.5,9.1,6.5,9.1,150.0,141.0,291.0,818.565,559.293,818.565,559.293,34102.746,32028.127,34102.746,32028.127,4289.0,6027.5,66130.9,194.0,-162.0,32.0,53.0,506.293,50.895663,508.39733700000005,143.104337,148.167663,291.272,291.596,307.676,59.333333333333336,180.26666666666668,174.66666666666666,-74.26666666666668,100.39999999999998,123.77100366666666,235.9009963333333,359.67199999999997,141.60000000000036,0.0017316740845723655,0.0013684451987496793
2015,253.0,69.0,111.0,255.0,205.268,40.238,6.7,9.3,6.7,9.3,117.0,129.0,246.0,798.948,593.68,798.948,593.68,34265.486,32156.983,34265.486,32156.983,4427.9,6169.1,66422.5,184.0,-144.0,40.0,55.0,538.68,55.21224,538.46776,128.78776,116.48024000000001,245.268,245.506,323.762,59.333333333333336,180.26666666666668,193.66666666666666,-69.26666666666668,124.39999999999998,138.45442666666665,191.21357333333333,329.668,122.29999999999927,0.0015851169983650687,0.001615467585471056
2016,259.0,38.0,118.0,275.0,189.775,65.044,6.8,9.4,6.8,9.4,89.0,165.0,254.0,783.64,593.865,783.64,593.865,34372.558,32230.087,34372.558,32230.087,4541.5,6291.4,66602.6,221.0,-157.0,64.0,56.0,537.865,55.82331,538.0416899999999,165.17669,88.59831,253.775,254.81900000000002,311.956,59.333333333333336,180.26666666666668,199.66666666666666,-62.26666666666668,137.39999999999998,143.84335666666666,183.33164333333332,327.17499999999995,157.40000000000055,0.002114010893404031,0.0016874078020623628
2017,261.0,63.0,108.0,152.0,163.279,154.661,7,9.7,7.0,9.7,178.0,139.0,317.0,769.553,606.274,769.553,606.274,34477.222,32297.26,34477.222,32297.26,4703.8,6448.8,66774.5,198.0,-44.0,154.0,59.0,547.274,58.80857799999999,547.465422,139.19142200000002,178.08757799999998,317.279,317.94,214.339,59.333333333333336,180.26666666666668,201.66666666666666,-72.26666666666668,129.39999999999998,142.85808866666667,149.8209113333333,292.679,130.09999999999945,0.0016281813525801103,0.0017086208951312548
2018,273.0,51.0,113.0,135.0,148.942,200.506,7.2,9.8,7.2,9.8,,,,758.59,609.648,758.59,609.648,34594.401,32397.758,34594.401,32397.758,4849.9,6578.9,66992.2,222.0,-22.0,200.0,,,59.745504000000004,549.902496,162.254496,186.68750400000002,348.942,349.448,185.494,59.333333333333336,180.26666666666668,213.66666666666666,-67.26666666666668,146.39999999999998,153.92116266666665,141.42083733333334,295.342,154.60000000000036,0.0019105145078677221,0.001856471525660236
2019,272.0,90.0,113.0,167.0,140.14,127.621,7.4,10,7.4,10.0,,,,753.383,613.243,753.383,613.243,34722.069,32535.913,34722.069,32535.913,5000.0,6733.5,67258.0,182.0,-54.0,128.0,,,61.32430000000001,551.9187000000001,120.67569999999999,147.46429999999998,268.14,267.76099999999997,257.379,59.333333333333336,180.26666666666668,212.66666666666666,-67.26666666666668,145.39999999999998,151.34236666666663,134.19763333333333,285.53999999999996,113.60000000000036,0.0014114214797678049,0.001817430308748605
2020,218.0,58.0,113.0,50.0,66.274,140.005,7.6,10.2,7.6,10.2,,,,735.196,668.922,735.196,668.922,34812.046,32629.804,34812.046,32629.804,5149.2,6847.1,67441.9,160.0,63.0,223.0,,,68.23004399999999,600.691956,91.76995600000001,197.504044,289.274,206.279,190.995,59.333333333333336,180.26666666666668,158.66666666666666,-67.26666666666668,91.39999999999998,90.43662266666666,67.23737733333331,157.67399999999998,85.29999999999927,0.0008772988619641514,0.0011010221301645945
2021,246.0,0.0,91.0,0.0,80.467,189.687,7.7,10.2,7.7,10.2,,,,742.052,661.585,742.052,661.585,34930.005,32767.086,34930.005,32767.086,5235.9,6932.4,67697.1,,,,,,67.48167,594.10333,,,,270.154,147.313,59.333333333333336,180.26666666666668,186.66666666666666,-89.26666666666668,97.39999999999998,119.18499666666666,58.68200333333331,177.86699999999996,83.0,0.0008759229003616753,0.0014876006617744464
2022,331.0,0.0,100.0,0.0,50.875,152,7.8,10.3,7.8,10.3,,,,725.997,675.122,725.997,675.122,35092.52,32967.687,35092.52,32967.687,5321.0,7015.4,67926.6,,,,,,69.537566,605.584434,,,,202.875,279.0,59.333333333333336,180.26666666666668,271.6666666666667,-80.26666666666668,191.4,202.1291006666667,40.14589933333332,242.275,266.40000000000055,0.003580817586159246,0.002598064732439148
2023,,,,,38.534,152,8.2,10.7,8.2,10.7,,,,677.803,639.269,677.803,639.269,35172.311,33073.771,35172.311,33073.771,5613.9,7281.8,68143.4,,,,,,68.401783,570.867217,,,,190.534,,59.333333333333336,180.26666666666668,,,,,,,,,
